0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
348840.41914569127,348824.96922149736,348809.5472893305,348794.1533373835,348778.78735393897,348763.4493273693,348748.1392461373,348732.8570987966,348717.6028739914,348702.3765604578,348687.17814702366,348656.86497622635,348611.60419679864,348536.72612676205,348389.0525249199,348244.1477506166,348102.00322708685,348840.41914569127,348834.2358162112,348828.05696659465
348840.4197617291,348818.57390454755,348796.7714613061,348775.0123782271,348753.2966016463,348731.6240780125,348709.9947538878,348688.4085759479,348666.8654909817,348645.3654458921,348623.9083876959,348581.1230206214,348517.2660537005,348411.6905103703,348203.7138935128,347999.9274618093,347800.2813205282,348840.4197617291,348831.67620573734,348822.93960114586
348840.42044259363,348812.1447896422,348783.9343530395,348755.7890139676,348727.7086538294,348699.69315424777,348671.74239706586,348643.8562643466,348616.0346383726,348588.27740164613,348560.5844368892,348505.3908552686,348423.0796032689,348287.1641032173,348020.0435864522,347759.10921390436,347504.2494854628,348840.42044259363,348829.1023478379,348817.79469911865
348840.4211974935,348806.1769272165,348772.0260836754,348737.9684504059,348704.0038114018,348670.1319511135,348636.35265444795,348602.6657067672,348569.0708938879,348535.5680020811,348502.15681807144,348435.6087226042,348336.46908199263,348173.0423090844,347852.86731818004,347541.42594890547,347238.51669653447,348840.4211974935,348826.71226430184,348813.01830019825
348840.422029418,348800.64777232084,348761.0010927384,348721.4816343912,348682.0890418894,348642.8229607311,348603.6830373004,348564.66891886527,348525.7802535756,348487.01669046213,348448.37787943415,348371.4731176541,348257.0429136804,348068.77473854425,347701.26816168014,347345.52227761963,347001.2096150193,348840.422029418,348824.4969944386,348808.5924061226
348840.4229494997,348794.9688504991,348749.68197560776,348704.5617777143,348659.60771130805,348614.8192324745,348570.19579889165,348525.7368698255,348481.441906126,348437.3103702234,348393.34172612446,348305.89097722026,348175.923232744,347962.4975348001,,,,348840.4229494997,348822.22120792465,348804.0462748348
348840.4239626747,348789.14024163893,348738.0690314783,348687.2095350659,348636.5609579667,348586.1225084288,,,,,,,,,,,,348840.4239626747,348819.8849218272,348799.37995942065
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
